season,team_name,playoffs
2019-20,New York Knicks,0
2019-20,Orlando Magic,1
2019-20,Indiana Pacers,1
2019-20,Philadelphia 76ers,1
2019-20,Phoenix Suns,0
2019-20,Sacramento Kings,0
2019-20,Oklahoma City Thunder,1
2019-20,Memphis Grizzlies,0
2019-20,Washington Wizards,0
2019-20,Atlanta Hawks,0
2019-20,Houston Rockets,1
2019-20,Golden State Warriors,0
2019-20,Milwaukee Bucks,1
2020-21,Los Angeles Clippers,1
2020-21,Los Angeles Lakers,1
2020-21,Golden State Warriors,0
2020-21,Brooklyn Nets,1
2020-21,Cleveland Cavaliers,0
2020-21,New Orleans Pelicans,0
2020-21,Chicago Bulls,0
2020-21,Minnesota Timberwolves,0
2020-21,Phoenix Suns,1
2020-21,Sacramento Kings,0
2020-21,San Antonio Spurs,0
2020-21,Toronto Raptors,0
2020-21,Utah Jazz,1
2020-21,Detroit Pistons,0
2020-21,Atlanta Hawks,1
2020-21,Boston Celtics,1
2020-21,Dallas Mavericks,1
2020-21,Miami Heat,1
2020-21,Milwaukee Bucks,1
2020-21,New York Knicks,1
2020-21,Orlando Magic,0
2020-21,Indiana Pacers,0
2020-21,Philadelphia 76ers,1
2020-21,Memphis Grizzlies,1
2020-21,Washington Wizards,1
2020-21,Denver Nuggets,1
2020-21,Portland Trail Blazers,1
2020-21,Charlotte Hornets,0
2020-21,Houston Rockets,0
2020-21,Oklahoma City Thunder,0
2021-22,Golden State Warriors,1
2021-22,Brooklyn Nets,1
2021-22,Los Angeles Lakers,0
2021-22,Milwaukee Bucks,1
2021-22,Cleveland Cavaliers,0
2021-22,New Orleans Pelicans,1
2021-22,Denver Nuggets,1
2021-22,Houston Rockets,0
2021-22,Orlando Magic,0
2021-22,Phoenix Suns,1
2021-22,Portland Trail Blazers,0
2021-22,Sacramento Kings,0
2021-22,Toronto Raptors,1
2021-22,Utah Jazz,1
2021-22,Washington Wizards,0
2021-22,Detroit Pistons,0
2021-22,Boston Celtics,1
2021-22,Chicago Bulls,1
2021-22,Minnesota Timberwolves,1
2021-22,Indiana Pacers,0
2021-22,Philadelphia 76ers,1
2021-22,San Antonio Spurs,0
2021-22,Oklahoma City Thunder,0
2021-22,Charlotte Hornets,0
2021-22,New York Knicks,0
2021-22,Memphis Grizzlies,1
2021-22,Los Angeles Clippers,0
2021-22,Atlanta Hawks,1
2021-22,Dallas Mavericks,1
2021-22,Miami Heat,1
2022-23,Boston Celtics,1
2022-23,Golden State Warriors,1
2022-23,Los Angeles Lakers,1
2022-23,Philadelphia 76ers,1
2022-23,Atlanta Hawks,1
2022-23,Cleveland Cavaliers,1
2022-23,Denver Nuggets,1
2022-23,Miami Heat,1
2022-23,Sacramento Kings,1
2022-23,San Antonio Spurs,0
2022-23,New Orleans Pelicans,0
2022-23,Dallas Mavericks,0
2022-23,Houston Rockets,0
2022-23,Minnesota Timberwolves,1
2022-23,Brooklyn Nets,1
2022-23,New York Knicks,1
2022-23,Indiana Pacers,0
2022-23,Phoenix Suns,1
2022-23,Portland Trail Blazers,0
2022-23,Oklahoma City Thunder,0
2022-23,Toronto Raptors,0
2022-23,Utah Jazz,0
2022-23,Memphis Grizzlies,1
2022-23,Washington Wizards,0
2022-23,Detroit Pistons,0
2022-23,Chicago Bulls,0
2022-23,Orlando Magic,0
2022-23,Charlotte Hornets,0
2022-23,Milwaukee Bucks,1
2022-23,Los Angeles Clippers,1
2023-24,Denver Nuggets,1
2023-24,Golden State Warriors,0
2023-24,Los Angeles Lakers,1
2023-24,Phoenix Suns,1
2023-24,New Orleans Pelicans,1
2023-24,Chicago Bulls,0
2023-24,Houston Rockets,0
2023-24,Los Angeles Clippers,1
2023-24,Miami Heat,1
2023-24,Brooklyn Nets,0
2023-24,New York Knicks,1
2023-24,Orlando Magic,1
2023-24,Sacramento Kings,0
2023-24,Oklahoma City Thunder,1
2023-24,Memphis Grizzlies,0
2023-24,Washington Wizards,0
2023-24,Detroit Pistons,0
2023-24,Atlanta Hawks,0
2023-24,Boston Celtics,1
2023-24,Cleveland Cavaliers,1
2023-24,Dallas Mavericks,1
2023-24,Minnesota Timberwolves,1
2023-24,Indiana Pacers,1
2023-24,Portland Trail Blazers,0
2023-24,San Antonio Spurs,0
2023-24,Toronto Raptors,0
2023-24,Utah Jazz,0
2023-24,Charlotte Hornets,0
2023-24,Milwaukee Bucks,1
2023-24,Philadelphia 76ers,1
2024-25,Boston Celtics,1
2024-25,Minnesota Timberwolves,1
2024-25,Los Angeles Lakers,1
2024-25,New York Knicks,1
2024-25,Golden State Warriors,1
2024-25,Houston Rockets,1
2024-25,Los Angeles Clippers,1
2024-25,Orlando Magic,1
2024-25,Portland Trail Blazers,0
2024-25,Utah Jazz,0
2024-25,Detroit Pistons,1
2024-25,Atlanta Hawks,0
2024-25,Cleveland Cavaliers,1
2024-25,New Orleans Pelicans,0
2024-25,Chicago Bulls,0
2024-25,Miami Heat,1
2024-25,Milwaukee Bucks,1
2024-25,Brooklyn Nets,0
2024-25,Indiana Pacers,1
2024-25,Phoenix Suns,0
2024-25,Toronto Raptors,0
2024-25,Memphis Grizzlies,1
2024-25,Charlotte Hornets,0
2024-25,Philadelphia 76ers,0
2024-25,Oklahoma City Thunder,1
2024-25,Washington Wizards,0
2024-25,Dallas Mavericks,0
2024-25,Denver Nuggets,1
2024-25,San Antonio Spurs,0
2024-25,Sacramento Kings,0
